Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
Loita,BBL,Vct 2026 Emea Kickoff,Controller,75,81,78
Caedye,DFM,Vct 2026 Pacific Stage 2,Sentinel,77,79,78
al0rante,PCF,Vct 2026 Emea Stage 2,Controller,76,80,78
Jinggg,PRX,Vct 2026 Pacific Stage 2,Controller,79,77,78
Ethan,NRG,Vct 2026 Americas Kickoff,Initiator,78,79,78
crashies,FNC,Vct 2026 Emea Stage 1,Initiator,79,77,78
brawk,NRG,Valorant Masters Santiago 2026,Initiator,80,76,78
WsLeo,XLG,Valorant Masters London 2026,Initiator,79,78,78
Favian,EF,Vct 2026 Emea Stage 1,Duelist,77,79,78
swagzor,NOVA,Vct 2026 China Stage 2,Duelist,78,78,78
seph1roth,FS,Vct 2026 Pacific Stage 2,Sentinel,74,83,78
Rarga,XLG,Vct 2026 China Stage 1,Duelist,82,74,78
deLb,TE,Vct 2026 China Stage 1,Controller,78,78,78
primmie,FS,Vct 2026 Pacific Stage 2,Duelist,80,74,78
Francis,NS,Vct 2026 Pacific Kickoff,Duelist,75,81,78
Rarga,XLG,Vct 2026 China Kickoff,Duelist,82,73,78
artzin,FUR,Vct 2026 Americas Kickoff,Controller,77,79,78
hiro,NAVI,Vct 2026 Emea Stage 2,Sentinel,74,82,78
Neon,LEV,Valorant Masters London 2026,Sentinel,75,80,78
bipo,M8,Vct 2026 Emea Kickoff,Duelist,77,78,78
Coco,TEC,Vct 2026 China Kickoff,Controller,78,77,78
primmie,FS,Vct 2026 Pacific Stage 2,Sentinel,78,78,78
Killua,FS,Vct 2026 Pacific Kickoff,Initiator,77,78,78
Cryocells,100T,Vct 2026 Americas Stage 1,Sentinel,78,78,78
artzin,FUR,Vct 2026 Americas Stage 1,Sentinel,75,81,78
LuoK1ng,TE,Vct 2026 China Stage 2,Controller,81,74,78
Autumn,GE,Vct 2026 Pacific Stage 2,Sentinel,72,83,78
